"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"AR34A","9",2019-04-06 15:17:45,40.135833,-70.775,"L8",0.09640613413
"AR34A","10",2019-04-06 18:15:42,40.363333,-70.884333,"L6",0.08759826509
"AR34A","11",2019-04-07 02:28:06,39.923,-70.766,"L12",2.04014367103
"AR34A","12",2019-04-07 15:05:10,40.363667,-70.884,"L6",0.07199124775
"AR34A","13",2019-04-08 00:48:19,39.968667,-70.999667,"L10",10.41843373574
"AR34A","14",2019-04-08 16:36:10,39.94,-70.775,"L12",0
"AR34A","15",2019-04-08 18:26:19,40.136667,-70.775333,"L8",0.02854503799
"AR34A","16",2019-04-08 20:15:20,40.365167,-70.775667,"L13",0.05948321478
"AR34A","17",2019-04-09 18:34:28,40.085667,-70.218167,"u9b",38.03598795061
"AR34A","18",2019-04-10 13:32:20,40.200667,-71.103167,"d9b",11.38342162566
"AR34A","19",2019-04-10 17:42:37,39.916833,-70.906167,"L10",3.23079257776
"AR34A","20",2019-04-10 22:52:18,40.200333,-70.555833,"u9b",14.65649183411
"AR34A","20b",2019-04-10 23:06:43,40.200333,-70.555833,"u9b",14.65649183411
"AR34A","21",2019-04-11 02:33:01,40.3385,-70.904833,"L6",3.30669054059
"AR34B","1",2019-04-15 01:36:35,40.365,-70.7755,"L13",0.04236166035
"AR34B","2",2019-04-15 04:37:05,40.6975,-70.884167,"L4",0.11513304986
"AR34B","3",2019-04-15 06:26:44,40.864333,-70.882667,"L3",0.12659933921
"AR34B","4",2019-04-15 08:09:35,41.030833,-70.881333,"L2",0.18921586531
"AR34B","5",2019-04-15 09:51:44,41.197,-70.882667,"L1",0.06259237863
"AR34B","6",2019-04-17 02:57:19,40.226,-70.8845,"L7",0.12820848017
"AR34B","7",2019-04-17 06:09:09,40.513833,-70.882333,"L5",0.10097069696
"AR34B","8",2019-04-17 07:48:48,40.363667,-70.883833,"L6",0.06086571803
"AR34B","9",2019-04-18 01:40:15,40.137,-70.776333,"L8",0.11812560229
"AR34B","10",2019-04-18 05:10:30,39.774,-70.883333,"L11",0.07788763202
"AR34B","11",2019-04-18 07:00:10,39.7735,-70.776167,"u11a",0.10218397352
"AR34B","12",2019-04-18 08:34:37,39.774,-70.9915,"d11a",0.07969115418
"AR34B","13",2019-04-19 02:08:15,40.364667,-70.774167,"L13",0.07969854631
"AR34B","14",2019-04-19 03:05:58,40.364167,-70.882833,"L6",0.10420966042
"AR34B","15",2019-04-19 04:27:26,40.512333,-70.884,"L5",0.1227337412
"AR34B","16",2019-04-19 05:56:08,40.696667,-70.882667,"L4",0.05349107656
"AR34B","17",2019-04-19 07:18:10,40.863167,-70.884833,"L3",0.12976143419
"AR34B","18",2019-04-22 05:09:57,40.098833,-70.884,"L9",0.08400951332
"AR34B","19",2019-04-22 07:00:07,40.098,-70.776333,"u9a",0.18731458463
"AR34B","20",2019-04-22 08:23:32,40.099,-70.9945,"d9a",0.18707599374
"AR34B","21",2019-04-22 14:42:15,39.939333,-70.8845,"L10",0.12636227252
"AR34B","22",2019-04-22 23:55:16,39.94,-70.7755,"L12",0.04262758723
"AR34B","23",2019-04-23 02:01:15,39.772833,-70.883167,"L11",0.05315756114
"AR34B","24",2019-04-23 03:18:50,39.8565,-70.883333,"L10.5",0.02241670038
"AR34B","25",2019-04-23 04:33:54,39.939,-70.885333,"L10",0.20592696257
"AR34B","26",2019-04-23 05:46:29,40.019167,-70.882667,"L9.5",0.05402877625
"AR34B","27",2019-04-23 06:55:32,40.097833,-70.883833,"L9",0.06893379941
"AR34B","28",2019-04-23 07:47:23,40.162333,-70.883833,"L7.5",0.04895183304
"EN644","1",2019-08-20 19:02:39,41.196833,-70.881,"L1",0.1930060591
"EN644","2",2019-08-21 00:35:13,41.024167,-70.872,"L2",1.14856831507
"EN644","3",2019-08-21 02:49:41,41.030833,-70.767667,"u2a",0.41584504272
"EN644","4",2019-08-21 04:23:17,41.030333,-70.989667,"d2a",0.37919538788
"EN644","5",2019-08-21 07:38:54,40.862667,-70.881333,"L3",0.17976600769
"EN644","6",2019-08-21 10:32:32,41.029833,-70.882667,"L2",0.05625073999
