cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en644,9',21-22-23',b,152,>0&<200,0.79591678,2.182214006,14.8,8.68,0.7725,14.0275,7.9075,0.354917966083424,0.18722254735759
en644,9',21-22-23',c,152,>0&<200,0.79591678,2.182214006,14.3,8.81,0.7725,13.5275,8.0375,0.318382293104248,0.232671058369941
en644,9',21-22-23',a,152,>10&<200,0.79591678,2.182214006,9.23,4.99,0.7725,8.4575,4.2175,0.245890878463025,0.0432621554209421
en644,9',21-22-23',b,152,>10&<200,0.79591678,2.182214006,8.41,5.12,0.7725,7.6375,4.3475,0.190797403335697,0.107268468581446
en644,9',21-22-23',c,152,>10&<200,0.79591678,2.182214006,8.17,4.87,0.7725,7.3975,4.0975,0.191377334652826,0.089548464123595
en644,13',21-22-23',a,152,>0&<200,0.79591678,2.182214006,8.85,5.95,0.792,8.058,5.158,0.168180081967635,0.185453907071726
en644,13',21-22-23',b,152,>0&<200,0.79591678,2.182214006,6.71,4.26,0.792,5.918,3.468,0.142083172696795,0.0956839219112899
en644,13',21-22-23',c,152,>0&<200,0.79591678,2.182214006,7.13,5.33,0.792,6.338,4.538,0.10438763708336,0.206738970567012
en644,13',21-22-23',a,152,>10&<200,0.79591678,2.182214006,1.38,1.1,0.792,0.588,0.308,0.0162380768796337,0.00487849322973484
en644,13',21-22-23',b,152,>10&<200,0.79591678,2.182214006,1.51,1.21,0.792,0.718,0.418,0.0173979395138933,0.0112602627773926
en644,13',21-22-23',c,152,>10&<200,0.79591678,2.182214006,1.41,1.15,0.792,0.618,0.358,0.0150782142453742,0.00946637049213863
en644,17',8-12',a,152,>0&<200,0.79591678,2.182214006,29.1,23.3,0.844,28.256,22.456,0.336360163935271,1.20322976585688
en644,17',8-12',b,152,>0&<200,0.79591678,2.182214006,37.9,23,0.844,37.056,22.156,0.864097662523368,0.654924179499913
en644,17',8-12',c,152,>0&<200,0.79591678,2.182214006,30.6,21.9,0.844,29.756,21.056,0.504540245902906,0.939065274301201
en644,17',8-12',a,152,>10&<200,0.79591678,2.182214006,3,2.34,0.844,2.156,1.496,0.0382754669305653,0.0642907307435107
